Date,Date 2,Campaign Name,Site Name,Placement Name,Ad Type,Ad Name,Unit Size, Clicks, Served Impressions, view, CTR, eCPC, CPM, actual cost, Total Conversions, Post-Click Conversions, Post-Impression Conversions, USM- Degree Completion RT Pixel Total Conversions, USM- Degree Completion RT Pixel Post-Click Conversions, USM- Degree Completion RT Pixel Post-Impression Conversions, USM- Graduate Programs RT Pixel Total Conversions, USM- Graduate Programs RT Pixel Post-Click Conversions, USM- Graduate Programs RT Pixel Post-Impression Conversions, USM- HS Undergrad LP Conversion Pixel Total Conversions, USM- HS Undergrad LP Conversion Pixel Post-Click Conversions, USM- HS Undergrad LP Conversion Pixel Post-Impression Conversions, USM- HS Undergrad RT Pixel Total Conversions, USM- HS Undergrad RT Pixel Post-Click Conversions, USM- HS Undergrad RT Pixel Post-Impression Conversions, USM- Transfer RT Pixel Total Conversions, USM- Transfer RT Pixel Post-Click Conversions, USM- Transfer RT Pixel Post-Impression Conversions
12/8/2015,12/8/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,796,184,0,0,33.96942218,27.03966006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/9/2015,12/9/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,1,754,182,0.00132626,26.58640227,35.26048046,26.58640227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2015,12/10/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,693,173,0,0,37.19918734,25.77903683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2015,12/11/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,733,166,0,0,34.28032572,25.12747875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2015,12/12/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,850,155,0,0,27.29545076,23.20113314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/2015,12/13/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,667,161,0,0,35.48509032,23.66855524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2015,12/14/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,849,175,0,0,31.13144276,26.4305949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2015,12/8/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,1,2769,0,0.000361141,138.45,50,138.45,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2015,12/8/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,0.025,50,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/9/2015,12/9/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,0,3183,0,0,0,50,159.15,15,0,15,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
12/9/2015,12/9/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,0.025,50,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2015,12/10/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,1,4202,0,0.000237982,210.1,50,210.1,3,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
12/10/2015,12/10/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,0.025,50,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2015,12/11/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,2,3880,0,0.000515464,97,50,194,16,0,16,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0
12/11/2015,12/11/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,0.025,50,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2015,12/12/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,3,3899,0,0.000769428,64.98333333,50,194.95,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
