Reporting Cycle Start Date,Reporting Cycle End Date,Campaign,Site ,Placement,Type,Ad,Size,Clicks,Impressions,Views,Click Through Rate, Average Cost Per Click ,CPM,Total Media Cost,Total Conversions,Post-Click Conversions,Post-Impression Conversions,USM- Degree Completion RT Pixel Total Conversions,USM- Degree Completion RT Pixel Post-Click Conversions,USM- Degree Completion RT Pixel Post-Impression Conversions,USM- HS Undergrad RT Pixel Total Conversions,USM- HS Undergrad RT Pixel Post-Click Conversions,USM- HS Undergrad RT Pixel Post-Impression Conversions,,,,
9/29/2015,9/29/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,0,2551,0,0,50,127.55,0,0,0,,0,,,,,,,,,
9/29/2015,9/29/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,4,2,0,2,50,0.1,0,0,0,,,,,,,,,,,
9/30/2015,9/30/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,0,2747,0,0,50,137.35,0,0,0,,,,,,,,,,,
9/30/2015,9/30/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,4,2,0,2,50,0.1,0,0,0,,,,,,,,,,,
10/1/2015,10/1/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,0,2,0,0,50,0.1,0,0,0,,,,,,,,,,,
10/2/2015,10/2/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,4,11851,0,0.000337524,50,592.55,0,0,0,,,,0,0,0,,,,,
10/3/2015,10/3/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,2,9200,0,0.000217391,50,460,0,0,0,,,,0,0,0,,,,,
10/3/2015,10/3/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,50,0.05,0,0,0,,,,0,0,0,,,,,
10/4/2015,10/4/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,6,8459,0,0.000709304,50,422.95,5,0,5,,,,5,0,5,,,,,
10/4/2015,10/4/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,50,0.05,0,0,0,,,,0,0,0,,,,,
10/5/2015,10/5/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,0,4826,0,0,50,241.3,0,0,0,,,,0,0,0,,,,,
