Date,Date 2,Campaign Name,Site Name,Placement Name,Ad Type,Ad Name,Unit Size, Clicks, Served Impressions, view, CTR, eCPC, CPM, actual cost, Total Conversions, Post-Click Conversions, Post-Impression Conversions, USM- Degree Completion RT Pixel Total Conversions, USM- Degree Completion RT Pixel Post-Click Conversions, USM- Degree Completion RT Pixel Post-Impression Conversions, USM- Graduate Programs RT Pixel Total Conversions, USM- Graduate Programs RT Pixel Post-Click Conversions, USM- Graduate Programs RT Pixel Post-Impression Conversions, USM- HS Undergrad LP Conversion Pixel Total Conversions, USM- HS Undergrad LP Conversion Pixel Post-Click Conversions, USM- HS Undergrad LP Conversion Pixel Post-Impression Conversions, USM- HS Undergrad RT Pixel Total Conversions, USM- HS Undergrad RT Pixel Post-Click Conversions, USM- HS Undergrad RT Pixel Post-Impression Conversions, USM- Transfer RT Pixel Total Conversions, USM- Transfer RT Pixel Post-Click Conversions, USM- Transfer RT Pixel Post-Impression Conversions
12/29/2015,12/29/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,847,164,0,0,27.45902051,23.25779037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/29/2015,12/29/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,3,2377,0,0.001262095,39.61666667,50,118.85,12,0,12,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
12/29/2015,12/29/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,4,2,0,2,0.025,50,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2015,12/30/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,2,3630,0,0.000550964,90.75,50,181.5,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
12/30/2015,12/30/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,4,2,0,2,0.025,50,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2015,12/30/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,794,170,0,0,29.0065006,23.03116147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2015,12/31/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,0,1297,0,0,0,50,64.85,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
12/31/2015,12/31/2015,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,4,2,0,2,0.025,50,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2015,12/31/2015,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,738,172,0,0,28.48215451,21.01983003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2016,1/1/2016,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,6,11337,0,0.000529241,94.475,50,566.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2016,1/1/2016,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,0.025,50,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2016,1/1/2016,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,2,1436,309,0.001392758,12.19546742,16.98533067,24.39093484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2016,1/2/2016,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,4,9378,0,0.00042653,117.225,50,468.9,8,0,8,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0
1/2/2016,1/2/2016,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,0.025,50,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2016,1/2/2016,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,1453,332,0,0,16.59163711,24.10764873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2016,1/3/2016,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,5,8486,0,0.000589206,84.86,50,424.3,7,0,7,1,0,1,0,0,0,0,0,0,6,0,6,0,0,0
1/3/2016,1/3/2016,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,0.025,50,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2016,1/3/2016,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,0,1316,329,0,0,18.42651351,24.24929178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2016,1/4/2016,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,Tracking Pixel,N/A,5,4532,0,0.001103266,45.32,50,226.6,12,0,12,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
1/4/2016,1/4/2016,USM013,Hulu.com,:30 Video - ROS: A18-34 Geo-targeted to ME VAST In-Stream,Video Display,USM_2015_Choice_USM30AUG15_PreRoll_Update,N/A,2,1,0,2,0.025,50,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2016,1/4/2016,USM014,YouTube.com,TrueView: Geo to 50 miles around Portland/Gorham/Lewiston Maine | Age 18-24 | education business and news topics/interests,Video Display,Tracking Pixel,NA,1,1768,272,0.000565611,25.76487252,14.5728917,25.76487252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
