Reporting Cycle Start Date,Reporting Cycle End Date,Campaign,Site ,Placement,Type,Ad,Size,Clicks,Impressions,Views,Click Through Rate, Average Cost Per Click ,CPM,Total Media Cost, Total Conversions, Post-Click Conversions, Post-Impression Conversions, RT container-Degree Completion Total Conversions, RT container-Degree Completion Post-Impression Conversions, RT container-Degree Completion Post-Click Conversions, RT container-Graduate Total Conversions, RT container-Graduate Post-Impression Conversions, RT container-Graduate Post-Click Conversions, RT container-Individual Courses Total Conversions, RT container-Individual Courses Post-Impression Conversions, RT container-Individual Courses Post-Click Conversions, RT container-Transfer Degree Total Conversions, RT container-Transfer Degree Post-Impression Conversions, RT container-Undergraduate Total Conversions, RT container-Undergraduate Post-Impression Conversions, RT container-Undergraduate Post-Click Conversions, USM-Degree Completion (Working Adults) Total Conversions, USM-Degree Completion (Working Adults) Post-Impression Conversions, USM-Graduate Degree Total Conversions, USM-Degree Completion (Working Adults) Post-Click Conversions, USM-Graduate Degree Post-Impression Conversions, USM-Graduate Degree Post-Click Conversions, USM-Traditional Undergraduate (HS students) Total Conversions, USM-Traditional Undergraduate (HS students) Post-Impression Conversions, USM-Traditional Undergraduate (HS students) Post-Click Conversions, USM-Transfer (Current Undergraduates) Total Conversions, USM-Transfer (Current Undergraduates) Post-Impression Conversions, USM-Transfer (Current Undergraduates) Post-Click Conversions, UG Thank You Page Total Conversions, UG Thank You Page Post-Impression Conversions, UG Thank You Page Post-Click Conversions, RT container-Transfer Degree Post-Click Conversions, Complete Degree Thank You Page Total Conversions, Complete Degree Thank You Page Post-Impression Conversions, Complete Degree Thank You Page Post-Click Conversions, USM-Individual Courses Total Conversions, USM-Individual Courses Post-Impression Conversions, USM-Individual Courses Post-Click Conversions, UG Transfer Thank You Page Total Conversions, UG Transfer Thank You Page Post-Impression Conversions, UG Transfer Thank You Page Post-Click Conversions
12/30/2014,12/30/2014,USM006,Collective.com,1-Week Sliding Billboard (Geo: State of Maine) Date TBD Sliding Billboard,Rich media,USM_970x30.300,970x30,0,0,,#DIV/0!,0,0,0,8,0,8,5,5,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,Collective.com,Geo: 50 miles of Portland & Lewiston-  Key pockets in New England- Greater Boston- Manchester- NH- Include in-state: Bangor- Fort Kent- Houlton- Caribou- Presque Isle  Campus 15-18  Demo: Looking to pursue a college degree [Undergrad Degree]; RT/LAL/RON 1,Digital Display (web),fy15_lg_hs_ug__160x600,160x600,2,1332,,0.001501502,2.56,3.85,5.13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,Collective.com,Geo: 50 miles of Portland & Lewiston-  Key pockets in New England- Greater Boston- Manchester- NH- Include in-state: Bangor- Fort Kent- Houlton- Caribou- Presque Isle  Campus 15-18  Demo: Looking to pursue a college degree [Undergrad Degree]; RT/LAL/RON 3,Digital Display (web),fy15_lg_hs_ug__300x250,300x250,4,4207,,0.000950796,4.05,3.85,16.2,5,3,2,0,0,0,0,0,0,0,0,0,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,Collective.com,Geo: 50 miles of Portland & Lewiston-  Key pockets in New England- Greater Boston- Manchester- NH- Include in-state: Bangor- Fort Kent- Houlton- Caribou- Presque Isle  Campus 15-18  Demo: Looking to pursue a college degree [Undergrad Degree]; RT/LAL/RON 7,Digital Display (web),fy15_lg_hs_ug_728x90,728x90,4,2884,,0.001386963,2.78,3.85,11.1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,Collective.com,Geo: 50 miles of Portland & Lewiston-  Key pockets in New England- Greater Boston- Manchester- NH- Include in-state: Bangor- Fort Kent- Houlton- Caribou- Presque Isle  Campus 15-18  Demo: Looking to pursue a college degree [Undergrad Degree]; RT/LAL/RON P,Video Display,Tracking Pixel,N/A,15,948,,0.015822785,0.87,13.8,13.08,13,12,1,0,0,0,0,0,0,0,0,0,0,0,13,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,MobileFuse.com,Geo: 50 miles of Portland & Lewiston- Key pockets in New England- Greater Boston- Manchester- NH- Include in-state: Bangor- Fort Kent- Houlton- Caribou- Presque Isle Campus 15-18 Demo: Looking to pursue a college degree [Undergrad Degree] Mobile Display (,Mobile Display,Tracking Pixel,N/A,12,806,,0.014888337,0.47,6.95,5.6,11,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,MobileFuse.com,Geo: 50 miles of Portland & Lewiston- Key pockets in New England- Greater Boston- Manchester- NH- Include in-state: Bangor- Fort Kent- Houlton- Caribou- Presque Isle Campus 15-18 Demo: Looking to pursue a college degree [Undergrad Degree] Mobile Tablet (7,Mobile Display,Tracking Pixel,N/A,2,801,,0.002496879,3.32,8.3,6.65,5,2,3,0,0,0,0,0,0,0,0,0,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,Pandora.com,Display Everywhere - GT: Portland & Lewiston MSA- Campus 13-20  DT: Looking to pursue a college degree [Undergrad Degree] 300x250,Digital Display (web),fy15_lg_hs_ug__300x250,300x250,11,2717,,0.004048583,1.9,7.7,20.92,14,6,8,1,1,0,3,3,0,1,1,0,1,1,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,Pandora.com,Mobile Audio Companion Banner- GT: Portland & Lewiston MSA- A13-20 DT: Looking to pursue a college degree [Undergrad Degree],Mobile Display,fy15_lg_hs_ug__300x250,300x250,1,293,,0.003412969,2.26,7.7,2.26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,12/30/2014,USM006,Pandora.com,Mobile Audio Companion Tile- GT: Portland & Lewiston MSA- A13-20 DT: Looking to pursue a college degree [Undergrad Degree],Mobile Display,500x500_3,500x500,1,548,,0.001824818,4.22,7.7,4.22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
