"Start Date","End Date","Campaign Name","Ad Set Name",Placement,Reach,Frequency,Impressions,Clicks,"Unique Clicks","Click-Through Rate (CTR)","Unique Click-Through Rate (uCTR)","Amount Spent (USD)","Cost Per 1,000 Impressions (CPM) (USD)","Cost Per 1,000 People Reached (USD)","Cost Per Click (CPC) (USD)",Actions,"People Taking Action","Page Likes","Website Clicks"
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_ic,"Right Column Ads on Desktop Computers",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_ic,"News Feed on Mobile Devices",173,1.0231213872832,177,2,1,1.1299435028249,0.57803468208092,2.06,11.638418079096,11.907514450867,1.03,2,2,1,1
2014-12-31,2014-12-31,"USM FY 2014-2015",fy15_lg_fb_disp_wa_ic,"News Feed on Desktop Computers",12,1,12,0,0,0,0,0.17,14.166666666667,14.166666666667,0,0,0,0,0
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_wa_ic,"News Feed on Desktop Computers",16,1,16,0,0,0,0,0.09,5.625,5.625,0,0,0,0,0
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_wa_ic,"News Feed on Mobile Devices",1507,1.1187790311878,1686,7,7,0.41518386714116,0.46449900464499,10.62,6.2989323843416,7.0471134704711,1.5171428571429,2,2,0,1
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Mobile Devices",628,1.0334394904459,649,7,7,1.0785824345146,1.1146496815287,2.27,3.497688751926,3.6146496815287,0.32428571428571,3,3,0,3
2014-12-30,2014-12-30,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Desktop Computers",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,2015-01-03,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Mobile Devices",1046,1.038240917782,1086,5,4,0.46040515653775,0.38240917782027,2.25,2.0718232044199,2.151051625239,0.45,2,2,0,2
2015-01-05,2015-01-05,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Mobile Devices",1058,1.031190926276,1091,5,3,0.45829514207149,0.28355387523629,2.25,2.0623281393217,2.1266540642722,0.45,2,2,0,2
2015-01-04,2015-01-04,"USM FY 2014-2015",fy15_lg_fb_disp_wa_gr,"News Feed on Desktop Computers",5,1,5,0,0,0,0,0,0,0,0,0,0,0,0
