"id","campaign","campaign url","funding instrument id","funding instrument name","time","campaign start date","campaign end date","spend","impressions","engagements","billed engagements","retweets","replies","follows","clicks","favorites","card engagements","unfollows","engagement rate","link clicks","cost per link click","link click rate","product type","currency","current remaining budget","current bid","current daily budget","current total budget","sign ups - engage","sign ups - view","sign ups - assisted","site visits - engage","site visits - view","total conversions","cost per conversion","conversion rate"
"3210715","Copy of USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210715&end=1420558654&segment=tweets&start=1418827260","31290892","Credit/debit card","2014-12-30 00:00 -0500","2014-12-17 09:41 -0500","2015-01-19 10:41 -0500","5.3","645","13","3","0","0","0","13","0","0","0","0.020155038759689922","7","0.7571428571428571","0.010852713178294573","Website clicks or conversions · Interests","USD","107.37","2.28","5.3","175.0","0","0","0","0","0","0","0.0","0.0"
"3210715","Copy of USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210715&end=1420558654&segment=tweets&start=1418827260","31290892","Credit/debit card","2014-12-31 00:00 -0500","2014-12-17 09:41 -0500","2015-01-19 10:41 -0500","5.3","813","11","3","0","0","0","11","0","0","0","0.013530135301353014","4","1.325","0.004920049200492005","Website clicks or conversions · Interests","USD","107.37","2.28","5.3","175.0","0","0","0","0","0","0","0.0","0.0"
"3210715","Copy of USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210715&end=1420558654&segment=tweets&start=1418827260","31290892","Credit/debit card","2015-01-01 00:00 -0500","2014-12-17 09:41 -0500","2015-01-19 10:41 -0500","5.3","1655","21","4","0","0","0","21","0","0","1","0.012688821752265862","5","1.06","0.0030211480362537764","Website clicks or conversions · Interests","USD","107.37","2.28","5.3","175.0","0","0","0","0","0","0","0.0","0.0"
"3210715","Copy of USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210715&end=1420558654&segment=tweets&start=1418827260","31290892","Credit/debit card","2015-01-02 00:00 -0500","2014-12-17 09:41 -0500","2015-01-19 10:41 -0500","5.3","1302","10","3","0","0","0","10","0","0","0","0.007680491551459293","3","1.7666666666666666","0.002304147465437788","Website clicks or conversions · Interests","USD","107.37","2.28","5.3","175.0","0","0","0","1","0","1","5.3","7.680491551459293E-4"
"3210715","Copy of USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210715&end=1420558654&segment=tweets&start=1418827260","31290892","Credit/debit card","2015-01-03 00:00 -0500","2014-12-17 09:41 -0500","2015-01-19 10:41 -0500","5.3","1342","15","4","0","0","0","15","0","0","0","0.011177347242921014","6","0.8833333333333333","0.004470938897168405","Website clicks or conversions · Interests","USD","107.37","2.28","5.3","175.0","0","0","0","0","0","0","0.0","0.0"
"3210715","Copy of USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210715&end=1420558654&segment=tweets&start=1418827260","31290892","Credit/debit card","2015-01-04 00:00 -0500","2014-12-17 09:41 -0500","2015-01-19 10:41 -0500","5.3","560","10","4","0","0","0","10","0","0","0","0.017857142857142856","5","1.06","0.008928571428571428","Website clicks or conversions · Interests","USD","107.37","2.28","5.3","175.0","0","0","0","0","0","0","0.0","0.0"
"3210715","Copy of USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210715&end=1420558654&segment=tweets&start=1418827260","31290892","Credit/debit card","2015-01-05 00:00 -0500","2014-12-17 09:41 -0500","2015-01-19 10:41 -0500","4.77","1848","14","2","0","0","0","14","1","0","0","0.007575757575757576","4","1.1925","0.0021645021645021645","Website clicks or conversions · Interests","USD","107.37","2.28","5.3","175.0","0","0","0","1","0","1","4.77","5.411255411255411E-4"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2014-12-30 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.42","2332","18","6","0","0","0","18","0","0","0","0.007718696397941681","6","1.9033333333333333","0.002572898799313894","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2014-12-31 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.42","1851","18","7","0","0","0","18","0","0","0","0.009724473257698542","7","1.6314285714285715","0.0037817396002160996","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-01 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.42","1728","17","5","0","0","0","17","0","0","0","0.009837962962962963","7","1.6314285714285715","0.004050925925925926","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-02 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.42","1503","20","7","0","0","0","20","0","0","0","0.01330671989354624","12","0.9516666666666667","0.007984031936127744","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-03 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","10.33","1481","13","5","0","0","0","13","0","0","0","0.008777852802160702","5","2.066","0.00337609723160027","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-04 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.42","1429","18","7","0","0","1","17","0","0","0","0.012596221133659902","9","1.268888888888889","0.006298110566829951","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-05 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.6484","2427","33","5","0","0","2","31","0","0","0","0.013597033374536464","7","1.664057142857143","0.00288421920065925","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
